INDICATOR_ID,INDICATOR_SHORT_NAME,Location Treatment Desc,Reporting Date,Target_Breach,Peer Average By Month,Rate Calculation By Month,Target
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/01/2017 00:00,FALSE,0.93,0.99,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/02/2017 00:00,TRUE,0.63,0.76,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/03/2017 00:00,TRUE,0.66,0.72,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/04/2017 00:00,TRUE,0.74,0.76,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/05/2017 00:00,TRUE,0.66,0.64,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/06/2017 00:00,TRUE,0.64,0.67,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/07/2017 00:00,TRUE,0.80,0.60,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/08/2017 00:00,TRUE,0.78,0.80,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/09/2017 00:00,TRUE,0.71,0.68,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/10/2017 00:00,FALSE,1.00,0.81,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/11/2017 00:00,FALSE,0.92,0.63,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/12/2017 00:00,FALSE,0.95,0.99,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/01/2018 00:00,TRUE,0.67,0.96,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/02/2018 00:00,FALSE,0.93,1.00,0.9
4,18 weeks CAMH Services Treatment,NHS Ayrshire & Arran,01/03/2018 00:00,TRUE,0.84,0.76,0.9
